feature,lasso_abs,ridge_abs,enet_abs,lasso_signed
RoofStyle_Hip,0.00581588686628962,0.008267629589000153,0.005941108920416431,0.00581588686628962
ExterQual,0.0057643007113628185,0.0007980603043377388,0.005645683418621719,0.0057643007113628185
Neighborhood_OldTown,0.00550856743384106,0.023538926298302287,0.0054997294280831254,-0.00550856743384106
MoSold_6,0.005498258472624754,0.007429172538719157,0.005643454936497764,0.005498258472624754
Exterior2nd_Wd Sdng,0.005128362092568368,0.021791608450942416,0.007029997102187723,0.005128362092568368
TotRmsAbvGrd,0.004999811943118073,0.010097680213430993,0.005392221299417737,0.004999811943118073
LotFrontage,0.004843958060125394,0.005188320313331319,0.0048455348625652565,0.004843958060125394
GarageFinish,0.00440388264595764,0.00411659654979582,0.004400270068087993,0.00440388264595764
SaleType_COD,0.004199285097838651,0.023647300359608363,0.006841867623543422,-0.004199285097838651
LotConfig_FR2,0.004196546874423055,0.01918712230322201,0.0051142786355423825,-0.004196546874423055
MoSold_7,0.003993046834524747,0.005995467579364394,0.004065941021088604,0.003993046834524747
Exterior1st_HdBoard,0.003753670621985189,0.005833900414186889,0.0037657079583254364,-0.003753670621985189
MasVnrArea,0.0036863767177920384,0.011589635644206994,0.0035999630363100317,0.0036863767177920384
WoodDeckSF,0.003488478687255543,0.012403472854534678,0.004297696726828486,0.003488478687255543
BldgType_Duplex,0.0032952144486901266,0.013692504566381861,0.011096395802706611,-0.0032952144486901266
LotConfig_Corner,0.0029981233106390927,0.0062626522313575204,0.0032408486942063826,0.0029981233106390927
BsmtFinSF2,0.002722979108888729,0.003242136101474613,0.002820755185407652,-0.002722979108888729
Neighborhood_ClearCr,0.0024543506514938217,0.0167619389961682,0.0038719872952938214,0.0024543506514938217
MiscVal,0.0023915964321878564,0.005059642297893269,0.0023967340530756938,-0.0023915964321878564
LowQualFinSF,0.001615544274628601,0.00021748555291064425,0.0016586053209369223,0.001615544274628601
ScreenPorch,0.0013712630749584797,0.0017094604143121916,0.0013983819295092746,0.0013712630749584797
HouseStyle_SLvl,0.0013451572309167038,0.010790563238490524,0.0022746573602681944,0.0013451572309167038
Fence,0.001325450686325025,0.0014177545186301876,0.0013834232859204825,-0.001325450686325025
MSSubClass_120,0.0012763011493459899,0.012113006540023645,0.0021951788639278753,0.0012763011493459899
BsmtFinType2,0.0010600753879350829,0.005155247030283583,0.0013534843172062613,0.0010600753879350829
Neighborhood_SawyerW,0.0008787737878393884,0.017493745879458684,0.0010737674756015549,-0.0008787737878393884
GarageType_BuiltIn,0.0008549502132264341,0.01532707971550168,0.0012584360829856628,0.0008549502132264341
EnclosedPorch,0.0006274632831678915,0.0010103687607465606,0.0006909428981954938,0.0006274632831678915
Exterior2nd_HdBoard,0.0005048655405481514,0.0049025773102287055,0.0009326784903447914,-0.0005048655405481514
Neighborhood_CollgCr,0.0003975576397401649,0.018909286914185114,0.00041319516761983564,-0.0003975576397401649
OpenPorchSF,0.0003329653438618835,0.006096687773448378,0.0008993374893041184,0.0003329653438618835
